사고일시,요일,시군구,요일_label,노면상태,노면상태_label,기상상태,도로형태,기상상태_label,도로형태_label,사상자합계
2022년 7월 19일 11시,화요일,세종특별자치시 대평동,5,건조,0,맑음,교차로 - 교차로횡단보도내,0,7,1
2022년 7월 19일 20시,화요일,세종특별자치시 한솔동,5,건조,0,맑음,교차로 - 교차로횡단보도내,0,7,1
2022년 7월 20일 05시,수요일,세종특별자치시 나성동,2,건조,0,맑음,단일로 - 기타,0,1,1
2022년 7월 20일 07시,수요일,세종특별자치시 전의면,2,건조,0,맑음,교차로 - 교차로안,0,0,1
2022년 7월 20일 16시,수요일,세종특별자치시 부강면,2,건조,0,맑음,교차로 - 교차로안,0,0,1
2022년 7월 21일 09시,목요일,세종특별자치시 어진동,3,젖음/습기,1,비,교차로 - 교차로부근,4,4,2
2022년 7월 21일 15시,목요일,세종특별자치시 새롬동,3,젖음/습기,1,흐림,단일로 - 기타,1,1,2
2022년 7월 21일 15시,목요일,세종특별자치시 고운동,3,건조,0,흐림,교차로 - 교차로부근,1,4,2
2022년 7월 21일 17시,목요일,세종특별자치시 대평동,3,젖음/습기,1,흐림,교차로 - 교차로안,1,0,1
2022년 7월 21일 18시,목요일,세종특별자치시 다정동,3,건조,0,흐림,단일로 - 기타,1,1,1
2022년 7월 22일 04시,금요일,세종특별자치시 대평동,4,젖음/습기,1,흐림,교차로 - 교차로안,1,0,1
2022년 7월 22일 08시,금요일,세종특별자치시 집현동,4,건조,0,맑음,교차로 - 교차로안,0,0,1
2022년 7월 22일 13시,금요일,세종특별자치시 종촌동,4,건조,0,맑음,단일로 - 기타,0,1,1
2022년 7월 22일 14시,금요일,세종특별자치시 어진동,4,건조,0,맑음,교차로 - 교차로안,0,0,2
2022년 7월 22일 16시,금요일,세종특별자치시 대평동,4,건조,0,맑음,단일로 - 터널,0,6,1
2022년 7월 23일 11시,토요일,세종특별자치시 나성동,6,건조,0,맑음,단일로 - 기타,0,1,1
2022년 7월 23일 15시,토요일,세종특별자치시 보람동,6,건조,0,맑음,단일로 - 기타,0,1,1
2022년 7월 24일 18시,일요일,세종특별자치시 대평동,0,건조,0,흐림,단일로 - 기타,1,1,1
2022년 7월 24일 22시,일요일,세종특별자치시 대평동,0,젖음/습기,1,흐림,교차로 - 교차로안,1,0,3
2022년 7월 25일 18시,월요일,세종특별자치시 종촌동,1,건조,0,맑음,기타 - 기타,0,2,1
2022년 7월 26일 00시,화요일,세종특별자치시 나성동,5,건조,0,맑음,단일로 - 기타,0,1,1
2022년 7월 26일 11시,화요일,세종특별자치시 전의면,5,건조,0,맑음,기타 - 기타,0,2,2
2022년 7월 26일 18시,화요일,세종특별자치시 조치원읍,5,건조,0,맑음,교차로 - 교차로안,0,0,1
2022년 7월 27일 18시,수요일,세종특별자치시 새롬동,2,건조,0,맑음,교차로 - 교차로부근,0,4,1
2022년 7월 28일 10시,목요일,세종특별자치시 보람동,3,건조,0,맑음,교차로 - 교차로횡단보도내,0,7,1
2022년 7월 29일 07시,금요일,세종특별자치시 조치원읍,4,건조,0,맑음,단일로 - 기타,0,1,1
2022년 7월 29일 20시,금요일,세종특별자치시 소정면,4,건조,0,맑음,교차로 - 교차로부근,0,4,1
2022년 7월 30일 12시,토요일,세종특별자치시 도담동,6,건조,0,흐림,단일로 - 기타,1,1,6
2022년 7월 30일 17시,토요일,세종특별자치시 전의면,6,건조,0,맑음,교차로 - 교차로부근,0,4,1
2022년 7월 30일 19시,토요일,세종특별자치시 다정동,6,건조,0,흐림,단일로 - 기타,1,1,1
2022년 7월 30일 23시,토요일,세종특별자치시 나성동,6,건조,0,흐림,교차로 - 교차로부근,1,4,1
2022년 7월 31일 15시,일요일,세종특별자치시 소정면,0,젖음/습기,1,비,단일로 - 기타,4,1,1
2022년 7월 31일 17시,일요일,세종특별자치시 조치원읍,0,건조,0,맑음,단일로 - 기타,0,1,1
2022년 7월 31일 23시,일요일,세종특별자치시 도담동,0,젖음/습기,1,비,기타 - 기타,4,2,1
2022년 8월 1일 17시,월요일,세종특별자치시 해밀동,1,건조,0,맑음,교차로 - 교차로안,0,0,1
2022년 8월 1일 19시,월요일,세종특별자치시 반곡동,1,건조,0,맑음,단일로 - 기타,0,1,1
2022년 8월 2일 16시,화요일,세종특별자치시 보람동,5,건조,0,맑음,단일로 - 기타,0,1,1
2022년 8월 3일 20시,수요일,세종특별자치시 보람동,2,건조,0,맑음,단일로 - 기타,0,1,1
2022년 8월 4일 08시,목요일,세종특별자치시 고운동,3,건조,0,맑음,교차로 - 교차로안,0,0,2
2022년 8월 4일 20시,목요일,세종특별자치시 장군면,3,건조,0,맑음,단일로 - 기타,0,1,1
2022년 8월 5일 12시,금요일,세종특별자치시 종촌동,4,건조,0,맑음,교차로 - 교차로안,0,0,1
2022년 8월 6일 08시,토요일,세종특별자치시 도담동,6,건조,0,맑음,단일로 - 기타,0,1,2
2022년 8월 6일 17시,토요일,세종특별자치시 장군면,6,건조,0,맑음,단일로 - 기타,0,1,3
2022년 8월 6일 18시,토요일,세종특별자치시 아름동,6,건조,0,맑음,교차로 - 교차로안,0,0,2
2022년 8월 7일 19시,일요일,세종특별자치시 금남면,0,건조,0,맑음,단일로 - 기타,0,1,5
2022년 8월 8일 14시,월요일,세종특별자치시 전의면,1,젖음/습기,1,비,단일로 - 기타,4,1,1
2022년 8월 8일 17시,월요일,세종특별자치시 보람동,1,젖음/습기,1,흐림,교차로 - 교차로부근,1,4,1
2022년 8월 9일 09시,화요일,세종특별자치시 조치원읍,5,젖음/습기,1,흐림,교차로 - 교차로안,1,0,1
2022년 8월 9일 13시,화요일,세종특별자치시 조치원읍,5,건조,0,맑음,교차로 - 교차로안,0,0,1
2022년 8월 10일 00시,수요일,세종특별자치시 조치원읍,2,건조,0,흐림,교차로 - 교차로부근,1,4,1
2022년 8월 10일 18시,수요일,세종특별자치시 조치원읍,2,젖음/습기,1,비,교차로 - 교차로횡단보도내,4,7,1
2022년 8월 11일 22시,목요일,세종특별자치시 대평동,3,젖음/습기,1,비,교차로 - 교차로안,4,0,1
